ClientID,Name,TypeID,Location,Region,Pricing
175,Fast Bakery,4,Newark,NC,2
176,Orange Kitchen,7,Enfield,MN,2
177,Sweet Juice Bar,5,Patchogue,NJ,3
178,Sugar Eatery,5,Lisle,MN,3
179,Salty Kitchen,5,Papillion,CO,2
180,Salty House,1,Ann Arbor,NY,2
181,Sugar Pizza,4,West Caldwell,FL,2
182,Smokestack Coffee,7,Mountain Brk,WA,2
183,Salty Creamery,6,Pleasant Hill,CA,2
184,70 House,6,Washington,CA,1
185,887 Brasserie,6,Yakima,AZ,2
186,Green Gastropub,1,Tacoma,UT,3
187,Thirsty Grill & Tap,1,Boston,NY,3
188,RW Diner,4,Frederick,LA,2
189,Red Bakery,5,Heber City,HI,2
190,Fat Subs,6,Santa Clarita,MD,2
191,Sugar Coffee,5,Delray Beach,OR,3
192,Green Creamery,5,Round Rock,WV,1
193,Orange Subs,5,Denver,NC,2
194,TL Gastropub,5,Doral,DC,1
195,LLW Coffee,6,Moab,MO,1
196,OTV Eatery,3,San Diego,UT,1
197,VZF Juice Bar,1,Granada Hills,MO,1
198,Thirsty Bar & Grill,6,Sparks,NY,2
199,Hungry Pizza,6,Silver Spring,SC,2
200,Belly Curry,7,Kapaa,ON,2
201,Green Creamery,6,Toronto,TX,1
202,ZU Pizza,5,Kingsville,MO,3
203,297 Steakhouse,1,Boise,FL,3
204,1558 Bar & Grill,2,Honesdale,TX,2
205,Spice Burger,1,Chicago,DC,1
206,63 Subs,4,Baltimore,NY,2
207,Hungry King,5,Spencer,KY,2
208,Big Bar & Grill,3,Vail,FL,2
209,44 Bar & Grill,4,Holland,TX,1
210,Sugar Pizza,4,Oquossoc,CO,3
211,DS BBQ,3,Yorktown,NY,2
212,Red Cafe,3,Cincinnati,DC,1
213,Belly Grill & Tap,7,Pasadena,NY,2
214,Thirsty Grill & Tap,6,Mill Valley,NY,2
215,39 Bakery,1,McCall,NC,1
216,339 Kitchen,1,Novi,OR,2
217,Belly Subs,1,Las Vegas,TX,2
218,Salty Juice Bar,4,Eureka,NC,2
219,Orange Grill,1,Alys Beach,CA,1
220,Salty Kitchen,7,Saline,CT,2
221,Orange Grill,5,Phoenix,CO,2
222,Hungry Diner,5,San Mateo,CA,1
223,Orange BBQ,4,San Francisco,HI,2
224,Thirsty BBQ,1,Carlsbad,FL,2
225,Red Juice Bar,7,Washington,ID,3
226,Sugar Shakes,1,Midlothian,OR,2
227,GEK Bakery,2,Fort Myers,NY,2
228,Belly Coffee,5,Gatlinburg,OR,2
229,Red Kitchen,1,Lakewood,GA,2
230,975 Kitchen,6,Warwick,LA,3
231,70 Juice Bar,2,La Jolla,WA,2
232,493 Creamery,7,Washington,DE,3
233,Spice Coffee,3,Atlanta,MD,2
234,REA Subs,5,Las Vegas,TX,2
235,Fat Burger,1,Danville,NE,3
236,Fast Coffee,7,Bellingham,ME,1
237,BIU Deli,6,Boulder City,MD,3
238,Golden Eats,2,Savannah,MA,2
239,Sweet Cafe,1,San Antonio,NM,3
240,Red Brasserie,7,Colorado Springs,MN,1
241,Orange Diner,2,Odessa,MA,2
242,Hungry Brasserie,5,Marlboro,NY,1
243,Sugar Bar & Grill,1,Clearwater,TX,2
244,Blue Plate Diner,7,Los Angeles,CA,3
245,Thirsty Eatery,7,San Francisco,PA,2
246,Fat Juice Bar,6,Fort Worth,IL,1
247,1398 Dragon,7,Reno,NC,1
248,Sweet Gastropub,2,Lincoln,NC,3
249,JI BBQ,7,New York,NY,1
250,Belly King,2,Northfield,MS,3
251,Blue Coffee,1,Port Washington,MS,1
252,Orange Brasserie,4,Columbus,KY,2
253,Blue Grill & Tap,4,Portsmouth,BC,3
254,Blue Curry,6,Salt Lake City,OK,3
255,Fat BBQ,6,Fallon,CA,3
256,Thirsty Pizza,6,Elkridge,TN,2
257,Golden Shakes,5,Saskatoon,IN,2
258,Silver Eats,6,Traverse City,TX,1
259,Sugar Steakhouse,1,Ann Arbor,IL,2
260,120 Spoon,3,Northbrook,MN,3
261,Red Pizza,6,Lansing,CA,3
262,Sweet Grill,4,San Francisco,FL,1
263,Fast Gastropub,5,Pittsburgh,CO,1
264,Blue Plate Bar & Grill,5,Elmsford,GA,3
265,486 Grill,1,Minneapolis,CA,3
266,Spice Kitchen,1,La Verne,CT,3
267,Hungry Curry,4,Kearney,NV,2
268,74 Kitchen,4,Orland Park,GA,3
269,Belly Coffee,4,Houston,FL,1
270,Orange Eats,4,Sedona,FL,2
271,Blue House,7,San Diego,PA,2
272,CD Juice Bar,5,Buffalo,FL,2
273,TN Coffee,1,Raleigh,MA,2
274,Green Deli,2,Bath,MO,2
275,Thirsty King,6,Sumneytown,MA,1
276,Hungry Deli,1,Washington,MN,2
277,Big Steakhouse,2,Oklahoma City,GA,1
278,Belly Sushi,7,Sherman Oaks,WA,2
279,Thirsty Bar & Grill,1,Lawrence,VA,3
280,Silver Subs,6,Brooklyn,MI,2
281,Green Spoon,1,Charleston,FL,2
282,Red King,1,Bartlesville,NV,3
283,Salty Bakery,4,Gloucester,CA,3
284,Silver Coffee,7,Louisville,WA,3
285,Thirsty Cafe,4,Kingston,TN,2
286,Blue Deli,1,Bethesda,IN,2
287,Salty Grill,6,Naperville,WA,1
288,Salty King,3,Cadillac,FL,2
289,Sweet Grill,2,Annapolis,TX,3
290,Red Steakhouse,6,Roanoke,MA,3
291,9057 Spoon,3,Chicago,NY,1
292,Smokestack Cafe,1,San Marcos,NJ,1
293,Thirsty Deli,3,Middle River,IN,2
294,Spice House,5,Long Beach,IL,1
295,Smokestack Bar & Grill,7,Sacramento,CA,2
296,Golden Pizza,6,Kansas City,FL,2
297,14 Deli,3,Nantucket,IA,2
298,Big Bakery,6,Pittsburgh,AZ,2
299,Thirsty Curry,1,Havre de Grace,ME,2
300,Thirsty Bakery,1,Sacramento,MI,1
301,105 Deli,2,Santa Monica,FL,2
302,Red Grill & Tap,1,Raleigh,NJ,2
303,Salty Juice Bar,1,Rancho Cordova,PA,2
304,Orange BBQ,2,Sterling,MN,2
305,ZO Grill & Tap,4,Arvada,FL,2
306,Spice Burger,1,New York,MT,3
307,Silver Deli,2,San Francisco,CA,2
308,Orange Deli,3,Veneta,NY,3
309,Silver Pub,1,Virginia Beach,MI,2
310,Big Diner,2,Hanalei,FL,1
311,Fast Spoon,6,Mendenhall,WI,2
312,Smokestack King,4,Big Sky,ID,1
313,MQ Spoon,7,Whittier,FL,2
314,Golden BBQ,7,Carson City,ME,2
315,Fast Steakhouse,1,New York,NC,3
316,Sugar Shakes,6,Wilmington,CT,3
317,Orange Curry,1,Key Biscayne,MA,1
318,Red Juice Bar,5,Escondido,CA,1
319,Fat Kitchen,2,Kansas City,FL,3
320,Fast Gastropub,7,Panama City Beach,OR,1
321,Fast Pizza,3,Washington,CA,2
322,321 Pub,4,Santa Fe,VA,1
323,Silver Eats,2,Newport,LA,3
324,Red Burger,6,Louisa,CA,1
325,Spice Juice Bar,4,Ocean City,VA,2
326,Silver Shakes,6,Burlington,PA,2
327,Blue Plate Box,6,Houston,CA,2
328,Fast BBQ,3,Scottsdale,MA,2
329,Belly Kitchen,1,North East,CA,3
330,Blue Deli,1,Aloha,OR,2
331,Red Eatery,5,Gretna,RI,1
332,570 Juice Bar,3,Rolesville,TX,2
333,Blue Dragon,5,Parkesburg,ON,2
334,326 Kitchen,1,San Antonio,WI,2
335,Fast Bar & Grill,6,Chicago,WA,3
336,Fat BBQ,7,Brighton,CA,3
337,Red Pub,1,Syracuse,WI,2
338,SOV Spoon,2,San Pedro,SC,2
339,Fast Juice Bar,6,Fort Myers,NY,3
340,Belly Kitchen,7,Chesapeake,VA,1
341,DP BBQ,6,Los Angeles,NY,2
342,17 Creamery,6,McLean,CO,2
343,Spice Eatery,3,Los Angeles,CT,2
344,Orange Box,1,Manhattan,CA,2
345,3123 House,2,Kirkland,CA,2
346,Hungry Brasserie,5,Warrensburg,MN,2
347,5064 Dragon,2,Dorchester Center,HI,1
348,Salty Box,5,Portland,SC,3
349,Sugar Bar & Grill,1,Grand Rapids,IN,2
350,JL Dragon,7,Collingswood,NM,3
351,CE Deli,1,Flagstaff,NC,2
352,Spice Grill & Tap,2,New York,NY,1
353,Fast Shakes,2,Wilmington,BC,2
354,Blue Pizza,7,Pagosa Springs,ME,1
355,Fat Bakery,6,Dallas,MA,2
356,Fast Eatery,1,Kingston,WA,2
357,Fat Grill & Tap,5,Baltimore,MI,2
358,Red Coffee,4,Cambridge,BC,2
359,Red Brasserie,5,Oklahoma City,WA,3
360,342 Kitchen,2,Conyers,TX,2
361,Fast Grill,7,Kamuela,IN,1
362,Hungry Grill,3,Johnston,IL,1
363,725 Kitchen,3,Fitchburg,GA,2
364,255 Steakhouse,3,Northville,WI,3
365,Silver Subs,4,Butte,LA,2
366,Blue Juice Bar,7,Rye,CA,2
367,Smokestack Pizza,6,Canmore,CA,2
368,Orange Curry,6,New York,NM,2
369,Blue Plate Subs,2,Santa Monica,UT,2
370,Belly Dragon,1,Austin,IN,1
371,Fat Diner,2,Santa Barbara,NY,2
372,Thirsty Bar & Grill,5,Seattle,OH,1
373,Golden Box,1,Canaan,WY,3
374,Golden Bakery,2,Howell,AZ,2
375,Hungry Shakes,3,Meridian,NY,1
376,Sugar Coffee,6,Greensboro,BC,1
377,Golden Subs,7,Sunnyvale,NC,2
378,Salty Eatery,6,Worcester,CA,3
379,Golden Grill & Tap,7,Winston-Salem,FL,2
380,Golden Box,7,Camp Verde,WY,1
381,Sugar Box,1,Conshohocken,NY,1
382,64 Shakes,1,Flushing,FL,2
383,Blue Brasserie,7,New Richmond,GA,3
384,FNN Deli,3,Superior,NC,2
385,Belly Cafe,6,Inver Grove Heights,CA,3
386,8500 Burger,2,Campbellsville,NM,2
387,NQ Coffee,7,Lincoln City,GA,2
388,Green Spoon,7,Nampa,TX,2
389,Salty Eats,2,Los Altos,FL,2
390,Silver Cafe,5,Huntingdon Valley,VA,2
391,36 Steakhouse,5,Harrisburg,NY,3
392,Fat Deli,4,Homewood,TX,3
393,Silver Sushi,1,San Francisco,MA,1
394,Green Kitchen,7,Pasadena,LA,3
395,Salty Shakes,6,Henderson,GA,2
396,Silver House,5,Gloversville,NV,2
397,3670 Coffee,2,Ocean Park,LA,2
398,Silver Deli,5,Teton Village,WA,3
399,Smokestack House,3,Manhattan Beach,KY,1
400,Sugar Pub,5,Baltimore,UT,1
401,YPS Shakes,4,Concord,FL,3
402,Sweet Grill,3,Stratford,MO,1
403,Orange King,7,Franklin Park,FL,2
404,6475 Juice Bar,4,Seattle,CO,3
405,Fat Spoon,4,Houston,NY,2
406,Fast Grill,7,Seattle,CA,2
407,Blue Eatery,2,Sacramento,TX,3
408,4991 BBQ,6,Omaha,TX,1
409,Thirsty Grill,4,Lancaster,IL,3
410,Golden Juice Bar,1,New Orleans,CA,2
411,4508 Gastropub,3,Freeport,HI,1
412,Blue Plate Bar & Grill,2,Concord,SC,2
413,Belly Subs,3,Arcadia,NY,3
414,Blue Plate Dragon,1,Clarksville,NJ,2
415,Fat Kitchen,5,Bow,CA,3
416,Red BBQ,7,Fresno,MA,2
417,Big Subs,5,Carmel,CA,1
418,Silver Steakhouse,3,New York,MA,2
419,96 Coffee,6,Honolulu,FL,1
420,314 King,7,Tampa,CA,2
421,Red Dragon,6,Destin,NY,1
422,Sugar Bakery,4,Long Beach,NC,1
423,3629 Pizza,1,Los Angeles,UT,2
424,Blue Plate Sushi,7,Salem,MI,1
425,Hungry Creamery,3,New York,WI,2
426,Blue Creamery,6,Philadelphia,FL,2
427,Spice Creamery,5,Denver,NC,2
428,Blue Plate Brasserie,2,Bloomingdale,NY,1
429,Salty Steakhouse,2,Lake Mary,CA,3
430,Smokestack BBQ,5,Whitefish,ID,1
431,Red Gastropub,7,Palm Desert,AZ,1
432,Green Subs,1,Boston,VA,3
433,8333 Brasserie,7,Riverside,CA,1
434,Blue Bakery,2,Austin,MA,2
435,Green Kitchen,3,Belmont,IN,2
436,Green Grill & Tap,6,Littleton,TX,2
437,Hungry Box,4,South Daytona,OR,3
438,Smokestack Gastropub,5,Starkville,ON,2
439,Silver Bar & Grill,6,Gallup,ME,1
440,Golden House,5,Las Vegas,CT,2
441,Spice Sushi,7,New York,TX,1
442,97 Eats,4,Tuscaloosa,NJ,2
443,Hungry Bakery,6,Onancock,FL,2
444,212 Deli,4,New York,NV,2
445,Spice Coffee,1,Washington,FL,2
446,85 Eats,2,Fort Worth,IL,3
447,Spice Sushi,7,Grafton,NY,2
448,Blue House,4,Hazel Green,CO,2
449,Spice Shakes,6,Walnut Creek,MA,2
450,13 Grill & Tap,5,Chambersburg,FL,1
451,Fast Sushi,3,Dallas,MO,2
452,Fat Subs,1,North Little Rock,MN,1
453,84 BBQ,1,Alpharetta,NY,2
454,Belly Deli,4,Wyckoff,MS,1
455,Big Coffee,6,Ontario,TX,1
456,700 Grill & Tap,7,Kihei,MS,1
457,Fat Creamery,2,Hilton Head Island,CA,2
458,Belly Deli,3,Palm Springs,WI,2
459,Salty BBQ,2,Cincinnati,WA,1
460,4445 Juice Bar,6,Conshohocken,IL,2
461,Orange Curry,5,Saratoga Springs,WA,3
462,Salty Grill & Tap,5,Provincetown,SC,3
463,Blue Spoon,5,Chamblee,NY,1
464,Fast Bar & Grill,4,Greenville,CA,2
465,Smokestack Juice Bar,5,Chapel Hill,UT,3
466,Smokestack Eatery,5,Chicago,NC,2
467,ZAK Eats,4,Berkeley,FL,2
468,2939 House,6,Minneapolis,VA,1
469,17 Eats,7,Kapaa,FL,2
470,Big Grill,4,Farmington,OH,2
471,Silver Deli,3,Nashville,CA,2
472,88 Diner,2,St Petersburg,WA,2
473,Blue Plate Burger,1,Salisbury,ND,3
474,Fast Juice Bar,2,Pasadena,CA,2
475,KM Deli,6,Harrisburg,CT,1
476,Silver Sushi,7,Glendora,ME,3
477,Orange Juice Bar,5,Bloomingdale,CA,2
478,Sweet Deli,5,Beaver Creek,WA,1
479,Smokestack Shakes,2,Branson,CA,1
480,Golden Coffee,1,Saint Cloud,RI,2
481,Sweet Subs,1,Thousand Oaks,MA,3
482,4952 Sushi,2,Las Vegas,CT,3
483,Sugar Cafe,7,Toronto,ON,3
484,Big King,7,Orange,AZ,2
485,Blue Dragon,5,Ontario,NM,2
486,Blue Creamery,5,Newport Beach,VT,2
487,Hungry Pizza,5,Oklahoma City,NY,3
488,886 Spoon,2,Provincetown,TX,3
489,Fast Grill & Tap,2,Wheat Ridge,KS,3
490,787 Brasserie,1,Long Beach,IN,1
491,NTG Juice Bar,6,Escanaba,WA,2
492,Thirsty Burger,7,West Yellowstone,OH,1
493,Salty Steakhouse,5,Kaukauna,PA,2
494,Green Coffee,3,Haddon Township,MO,2
495,Silver Diner,4,West Miami,CO,1
496,Thirsty Coffee,3,Austin,IL,2
497,Sweet Pizza,1,Las Vegas,AZ,2
498,Fat Kitchen,1,Jacksonville,AZ,3
499,Sugar Grill,6,Jackson,ND,2
500,Silver King,4,Bakersfield,FL,2
501,Blue Plate House,4,Clayton,CA,1
502,Smokestack BBQ,2,New York,AZ,2
503,Belly Gastropub,2,Upland,LA,1
504,Big Sushi,3,El Dorado,TN,2
505,Sweet BBQ,4,Stuart,IN,1
506,BZV Eatery,7,Louisville,VA,3
507,SIO Pizza,5,Walla Walla,NY,3
508,XS Burger,6,Berea,AZ,1
509,Fat Box,7,Seattle,PA,2
510,25 Bakery,6,Napa,WI,2
511,Sugar Kitchen,4,Novi,CA,3
512,33 House,5,Lahaina,NY,2
513,Red Grill,3,Brooklyn,LA,2
514,FCO House,5,Little Chute,ME,2
515,Orange BBQ,3,Arlington,NJ,1
516,Spice Deli,7,New York,FL,2
517,Belly Kitchen,7,Tucson,NY,1
518,ZQV Subs,6,Bastrop,CA,3
519,Red Kitchen,1,Las Vegas,CA,1
520,Thirsty Pub,2,Western Springs,ON,1
521,Belly Pub,3,Bellevue,CA,1
522,Golden Deli,2,New York,OK,2
523,Fat Grill,5,Santa Rosa Beach,FL,2
524,Blue Plate BBQ,2,Fort Lauderdale,PA,3
525,Blue Plate Pizza,1,San Francisco,CA,1
526,Fat Box,3,Kissimmee,CA,1
527,659 Burger,4,Woodstock,CO,2
528,Hungry Burger,2,Perris,WI,1
529,XR Juice Bar,4,Atlanta,TN,3
530,QGV Dragon,4,Alexandria,TX,1
531,Sugar Cafe,5,Yukon,WA,2
532,Thirsty Brasserie,6,St Robert,WI,2
533,Fat Grill,4,Pacific Grove,IL,1
534,Salty Subs,1,Birmingham,FL,2
535,Blue Plate Spoon,4,New York,TX,3
536,Red Cafe,7,Marysville,FL,1
537,Thirsty King,4,Houston,CA,2
538,Red Dragon,3,Afton,NH,3
539,Belly Grill & Tap,6,Madison,OR,3
540,780 Cafe,4,Tucson,GA,1
541,Salty Pub,1,Raleigh,FL,1
542,Silver Spoon,7,Kihei,MA,2
543,Blue Creamery,4,Kapaa,MN,3
544,DIE Subs,5,McKinleyville,IA,1
545,Big Deli,1,Belton,LA,2
546,Thirsty Eats,5,Ottoville,NY,1
547,Belly Diner,7,Las Vegas,IA,2
548,Sugar Bar & Grill,5,Tybee Island,FL,1
549,91 Grill & Tap,1,St Louis,NC,1
550,Smokestack House,5,Pasadena,CA,3
551,Blue Plate Dragon,6,Omaha,NY,3
552,4170 Sushi,7,Yonkers,DC,2
553,Big Subs,2,Vero Beach,TX,2
554,Sweet Dragon,3,Palm Harbor,FL,2
555,Smokestack Sushi,2,Niles,IL,1
556,616 Subs,5,Oklahoma City,NY,2
557,Smokestack Shakes,5,Scottsdale,IN,2
558,Thirsty Eats,5,Tucson,OH,3
559,Orange Eatery,6,Providence,MA,2
560,Fat Cafe,6,Winter Garden,CA,2
561,Thirsty Subs,5,Woodburn,CA,2
562,Orange Grill & Tap,7,Albuquerque,VT,2
563,Belly Coffee,1,Ketchikan,ME,1
564,Belly House,5,Santa Monica,MS,2
565,596 Eats,1,Bordentown,CA,1
566,Fast Diner,1,Cincinnati,TX,3
567,Sweet Deli,5,Boston,AZ,1
568,Fat Juice Bar,6,Atlanta,TX,2
569,QI Burger,4,San Jose,AR,2
570,Orange Burger,6,Kapaa,ON,2
571,Salty Bar & Grill,6,Albuquerque,MA,1
572,Sugar Bar & Grill,6,Miami,VA,2
573,Green Curry,3,Las Vegas,NM,2
574,Thirsty Diner,2,Miami Beach,FL,1
575,UC Cafe,4,Saint Augustine,NY,3
576,Red House,2,Surfside Beach,GA,2
577,Green Creamery,4,Yarmouth,OK,2
578,Salty Eatery,7,Kissimmee,CA,2
579,FYR Shakes,7,Beaumont,ID,2
580,Sugar Brasserie,7,Buffalo,TX,3
581,Red Curry,3,Barnesville,MN,1
582,Red Burger,6,San Francisco,OH,2
583,Thirsty Bar & Grill,1,Brooklyn Park,AR,2
584,Spice Diner,3,Chicago,CA,2
585,Big Eatery,7,Durham,CO,3
586,Big King,6,White River Junction,PA,1
587,Blue Plate Bakery,6,Portland,CO,1
588,28 Juice Bar,2,New York,NY,2
589,Hungry Sushi,3,Toluca Lake,ON,2
590,Green Deli,6,Eugene,NC,2
591,Thirsty Box,6,Newport,ON,2
592,Thirsty Eatery,2,Matlacha,RI,2
593,Red Cafe,3,Breckenridge,NC,1
594,Fat Sushi,6,Saint Louis,FL,1
595,Red Sushi,5,Elko,MA,2
596,Fast Bakery,2,Spencer,WA,2
597,Spice Pub,1,Kennebunkport,FL,2
598,Blue Dragon,1,Jacksonville,MA,3
599,Orange Pub,5,Steamboat Springs,DC,3
600,639 Sushi,5,Cumberland,MI,1
601,Smokestack Pub,5,Lewes,DE,2
602,Big Coffee,7,West Palm Beach,MI,2
603,28 Eatery,5,Idyllwild,OH,2
604,Sweet Curry,4,Holland,NY,1
605,Thirsty Burger,4,Tucson,CO,2
606,Big Cafe,3,Valparaiso,PA,2
607,Blue Plate Burger,6,Rocky Hill,MA,2
608,Fat Gastropub,2,Nashville,NY,2
609,Golden Bar & Grill,2,Charles Town,MD,3
610,Belly Deli,2,Atlanta,CA,1
611,Fat Diner,3,Lynchburg,OH,2
612,Orange Diner,1,Ann Arbor,CO,3
613,Salty Brasserie,5,Port Richey,NJ,3
614,Salty Juice Bar,4,Chicago,NC,1
615,880 House,3,Austin,TX,3
616,Big Sushi,3,Reedley,NH,2
617,Golden Spoon,7,Roswell,CA,2
618,Spice Pub,5,Skaneateles,MI,3
619,Fast Shakes,2,San Antonio,ID,3
620,Spice Eats,7,Blue Ridge,OR,2
621,Spice Pizza,1,San Diego,SC,2
622,Orange Juice Bar,7,Key West,KY,2
623,Fast Pizza,7,Kalamazoo,CA,3
624,Spice Bakery,7,Lawrenceville,VT,2
